trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
245,False,"{'a': 0.8, 'e': 0.085235924572192}",20,8,21.191977998815197,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.8, 'e': 0.08438356532647008}",25,16,14.088212474661837,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.8, 'e': 0.08353972967320537}",25,14,21.87280117020647,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.8, 'e': 0.08270433237647332}",20,5,13.491267890753765,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
249,False,"{'a': 0.8, 'e': 0.08187728905270858}",30,17,15.88689972476076,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.8, 'e': 0.08105851616218149}",20,12,14.805356153096506,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.8, 'e': 0.08024793100055967}",30,18,7.989591999436154,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
252,False,"{'a': 0.8, 'e': 0.07944545169055407}",25,14,4.51243303002143,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
253,False,"{'a': 0.8, 'e': 0.07865099717364853}",25,12,-16.081282317150254,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
254,False,"{'a': 0.8, 'e': 0.07786448720191204}",20,6,4.179684052917381,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
255,False,"{'a': 0.8, 'e': 0.07708584232989292}",25,0,24.819294804455183,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
256,False,"{'a': 0.8, 'e': 0.076314983906594}",35,26,16.29954291626806,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.8, 'e': 0.07555183406752805}",20,7,22.215080227063602,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.8, 'e': 0.07479631572685277}",20,12,17.72872623577488,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.8, 'e': 0.07404835256958425}",30,16,24.420141258571007,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.8, 'e': 0.0733078690438884}",25,0,41.27762396158812,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
261,False,"{'a': 0.8, 'e': 0.07257479035344952}",30,13,29.56090131338672,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.8, 'e': 0.07184904244991502}",30,0,49.521919298676515,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
263,False,"{'a': 0.8, 'e': 0.07113055202541588}",30,12,28.93727100882535,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.8, 'e': 0.07041924650516172}",25,20,10.710386309622033,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.8, 'e': 0.06971505404011011}",30,19,17.83560986796784,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.8, 'e': 0.069017903499709}",25,16,17.992838017489586,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.8, 'e': 0.06832772446471191}",20,0,18.65596051830486,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.8, 'e': 0.0676444472200648}",25,3,27.3047032313777,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.8, 'e': 0.06696800274786414}",20,8,21.181645675289616,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.8, 'e': 0.06629832272038551}",35,18,-10.951280736479376,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
271,False,"{'a': 0.8, 'e': 0.06563533949318165}",20,6,24.62542802980065,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.8, 'e': 0.06497898609824983}",20,14,-12.045297578235498,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
273,False,"{'a': 0.8, 'e': 0.06432919623726734}",20,11,16.776337688952307,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.8, 'e': 0.06368590427489466}",25,1,35.74473398399307,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.8, 'e': 0.06304904523214572}",30,0,46.814730484797884,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
276,False,"{'a': 0.8, 'e': 0.06241855477982426}",30,16,23.870951077766936,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.8, 'e': 0.06179436923202602}",20,8,18.30656049514839,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.8, 'e': 0.06117642553970576}",30,14,13.871568638139484,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
279,False,"{'a': 0.8, 'e': 0.0605646612843087}",25,2,37.657057737059226,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.8, 'e': 0.05995901467146561}",20,13,15.6238332042857,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.8, 'e': 0.05935942452475095}",20,5,25.09510319374604,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.8, 'e': 0.05876583027950344}",30,19,5.7278942973329805,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
283,False,"{'a': 0.8, 'e': 0.0581781719767084}",25,12,23.65277646884476,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.8, 'e': 0.05759639025694132}",25,8,27.828674582856753,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.8, 'e': 0.057020426354371906}",20,11,16.859762800021908,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.8, 'e': 0.05645022209082819}",25,19,10.547163098193376,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.8, 'e': 0.05588571986991991}",25,18,14.823433282540563,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.8, 'e': 0.05532686267122071}",30,19,21.510608028601542,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.8, 'e': 0.0547735940445085}",25,8,29.90100666011922,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.8, 'e': 0.05422585810406342}",20,9,18.578482140138103,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.8, 'e': 0.05368359952302278}",20,16,6.431193574802572,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.8, 'e': 0.05314676352779255}",35,7,34.36803312241854,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.8, 'e': 0.052615295892514624}",25,11,24.43434468805822,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.8, 'e': 0.052089142933589475}",20,2,30.487276725883554,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.8, 'e': 0.05156825150425358}",20,14,12.1431774388193,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.8, 'e': 0.051052568989211046}",20,5,28.122667464358553,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.8, 'e': 0.05054204329931893}",25,18,8.624954685181901,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.8, 'e': 0.05003662286632574}",25,17,16.01106032616926,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.8, 'e': 0.049536256637662486}",30,6,-4.08091909483581,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
300,False,"{'a': 0.8, 'e': 0.04904089407128586}",30,16,20.8702299565677,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.8, 'e': 0.048550485130573}",30,20,21.153926117538077,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.8, 'e': 0.04806498027926727}",25,15,2.1328302038893066,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
303,False,"{'a': 0.8, 'e': 0.0475843304764746}",25,13,9.316916944502228,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
304,False,"{'a': 0.8, 'e': 0.04710848717170985}",25,12,21.364950863924633,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.8, 'e': 0.046637402299992754}",30,17,28.03960421436695,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.8, 'e': 0.04617102827699283}",30,16,11.031841947152902,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
307,False,"{'a': 0.8, 'e': 0.0457093179942229}",30,22,16.004099360818486,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.8, 'e': 0.04525222481428067}",20,8,19.57956149278731,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.8, 'e': 0.04479970256613786}",25,8,32.334151110433034,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.8, 'e': 0.04435170554047648}",30,17,25.692719881942114,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.8, 'e': 0.04390818848507172}",25,18,12.474401044908074,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.8, 'e': 0.043469106600221005}",20,12,11.205872904853607,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.8, 'e': 0.043034415534218794}",20,8,19.5811220774998,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.8, 'e': 0.042604071378876604}",25,17,15.510591210249016,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.8, 'e': 0.04217803066508784}",20,9,18.091512640813825,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.8, 'e': 0.041756250358436955}",20,16,7.362197363030605,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.8, 'e': 0.041338687854852584}",35,23,23.284478030874418,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.8, 'e': 0.040925300976304056}",20,11,4.796354307322657,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
319,False,"{'a': 0.8, 'e': 0.04051604796654101}",30,18,22.11614304961043,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.8, 'e': 0.0401108874868756}",20,8,21.184300276333694,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.8, 'e': 0.03970977861200684}",25,12,19.363064124779658,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.8, 'e': 0.03931268082588677}",20,9,22.73011558985216,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.8, 'e': 0.0389195540176279}",30,24,11.140543733354342,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.8, 'e': 0.03853035847745162}",20,11,12.161891748145738,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.8, 'e': 0.038145054892677104}",30,17,22.408094157131686,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.8, 'e': 0.03776360434375033}",30,13,26.393341618304646,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.8, 'e': 0.03738596830031283}",20,9,17.25735232883184,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.8, 'e': 0.0370121086173097}",20,11,16.51168256688358,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.8, 'e': 0.0366419875311366}",20,14,11.442702127898677,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.8, 'e': 0.036275567655825236}",25,18,12.42940509247923,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.8, 'e': 0.03591281197926698}",20,14,12.625168716148789,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.8, 'e': 0.035553683859474314}",20,10,19.961371282403235,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.8, 'e': 0.03519814702087957}",20,11,16.755274826944344,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.8, 'e': 0.03484616555067077}",20,11,15.532195049316092,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.8, 'e': 0.034497703895164065}",35,21,26.42084066465936,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.8, 'e': 0.03415272685621242}",20,0,24.684579312671886,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.8, 'e': 0.0338111995876503}",25,16,15.303559638651441,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.8, 'e': 0.033473087591773795}",25,9,27.76633501777937,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.8, 'e': 0.033138356715856056}",25,15,17.874928376061806,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.8, 'e': 0.032806973148697495}",20,12,14.057641051727792,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.8, 'e': 0.03247890341721052}",25,20,9.7729523556646,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.8, 'e': 0.03215411438303841}",30,16,27.26963074041117,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.8, 'e': 0.031832573239208024}",25,16,19.564418866943054,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.8, 'e': 0.031514247506815946}",20,15,9.13665488350108,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.8, 'e': 0.031199105031747786}",20,9,22.090680732399733,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.8, 'e': 0.03088711398143031}",25,16,16.864501849408157,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.8, 'e': 0.030578242841616005}",30,13,29.453299392530393,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.8, 'e': 0.030272460413199843}",30,13,35.426420595841364,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.8, 'e': 0.029969735809067845}",35,12,23.84158140747319,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
350,False,"{'a': 0.8, 'e': 0.029670038450977168}",20,11,16.279391650312267,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.8, 'e': 0.029373338066467396}",20,10,15.837461331751134,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.8, 'e': 0.029079604685802722}",20,14,14.035797520377695,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.8, 'e': 0.028788808638944695}",30,13,31.545793834868427,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.8, 'e': 0.028500920552555247}",30,15,25.732384150280964,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.8, 'e': 0.028215911347029693}",30,16,27.70170006454177,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.8, 'e': 0.027933752233559397}",35,21,29.73762837949582,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
